id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
x,N,,,T,,"Batch/dp, Seq/sp, Din/tp",1,,,,
w,Y,,,T,,"Din/(dp*sp), Dout/tp",1,,,,
w_full,N,w,,I,,"Din, Dout/tp",1,,,,"{""ctrl_deps"": [""x""]}"
y,N,x,w_full,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Din",1,"Din, Dout/tp",1,,
dy,N,,,T,,"Batch/dp, Seq/sp, Dout/tp",1,,,y,
dw,N,dy,x,M,"bsn,bsm->mn","Batch/dp, Seq/sp, Dout/tp",1,"Batch/dp, Seq/sp, Din",1,w,
w_full_2,N,w,,I,,"Din, Dout/tp",1,,,,"{""ctrl_deps"": [""y""]}"
dx,N,dy,w_full_2,M,"bsn,mn->bsm","Batch/dp, Seq/sp, Dout/tp",1,"Din, Dout/tp",1,x,
