id_,require_grads,shape,hidden,x1,x2,op_type,op_attr,gradient_of,num_iter,offloading,x1_shape,x1_hidden,x2_shape,x2_hidden,direct_output_shape,direct_output_hidden,post_communications,ops
d_inEmbY,N,"B/bp, Seq, H*D",1,,,T,,inEmbY,0,0,,,,,"B/bp, Seq, H*D",1,,
d_inEmbX,N,"B/bp, Seq, H*DI",1,d_inEmbY,inEmbW,M,"bse,de->bsd",inEmbX,0,0,"B/bp, Seq, H*D",1,"H*DI, H*D",1,"B/bp, Seq, H*DI",H*D,,B/bp*Seq*H*DI*H*D
d_inEmbW,N,"H*DI, H*D",1,d_inEmbY,inEmbX,M,"bse,bsd->de",inEmbW,0,0,"B/bp, Seq, H*D",1,"B/bp, Seq, H*DI",1,"H*DI, H*D","B/bp, Seq",Reduce@bp:H*DI*H*D,H*DI*H*D*B/bp*Seq
d_inEmbWSharded,N,"H*DI, H*D/bp",1,d_inEmbW,,C,Scatter@bp:H*DI*H*D,inEmbWSharded,0,0,"H*DI, H*D",1,,,H*DI*H*D/bp,1,,
