id_,require_grads,shape,hidden,x1,x2,op_type,op_attr,gradient_of,num_iter,offloading,x1_shape,x1_hidden,x2_shape,x2_hidden,direct_output_shape,direct_output_hidden,post_communications,ops
x0,N,"B/bp, Seq, H*D",1,,,T,,,0,0,,,,,,,,
w1_sharded,Y,"H*D, H*DF/bp",1,,,T,,,0,0,,,,,,,,
w1,N,"H*D, H*DF",1,w1_sharded,,C,Gather@bp:H*D*H*DF/bp,,0,0,"H*D, H*DF/bp",1,,,"H*D, H*DF",1,,
x1,N,"B/bp, Seq, H*DF",1,x0,w1,M,"bsd,de->bse",,0,0,"B/bp, Seq, H*D",1,"H*D, H*DF",1,"B/bp, Seq, H*DF",H*D,,B/bp*Seq*H*DF*H*D
w2_sharded,Y,"H*DF, H*D/bp",1,,,T,,,0,0,,,,,,,,
w2,N,"H*DF, H*D",1,w2_sharded,,C,Gather@bp:H*DF*H*D/bp,,0,0,"H*DF, H*D/bp",1,,,"H*DF, H*D",1,,
x2,N,"B/bp, Seq, H*D",1,x1,w2,M,"bsd,de->bse",,0,0,"B/bp, Seq, H*DF",1,"H*DF, H*D",1,"B/bp, Seq, H*D",H*DF,,B/bp*Seq*H*D*H*DF
res,N,"B/bp, Seq, H*D",1,x2,x0,A,,,0,,"B/bp, Seq, H*D",1,"B/bp, Seq, H*D",1,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D
norm,N,"B/bp, Seq, H*D",1,res,,E,10,,0,0,"B/bp, Seq, H*D",1,,,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D*10
