id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of
x0,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,
w1,Y,,,T,,"Dmodel/(dp*sp), Dff/tp",1,,,
x1,N,x0,w1,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dff/tp",1,
w2,Y,,,T,,"Dff/tp, Dmodel/(dp*sp)",1,,,
x2,N,x1,w2,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dff/tp",1,"Dff/tp, Dmodel",1,
res,N,x2,x0,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,
