id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of
x,N,,,T,,"Batch/dp, Seq/sp, Din/tp",1,,,
w,Y,,,T,,"Din, Dout/tp",1,,,
y,N,x,w,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Din",1,"Din, Dout/tp",1,
