id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of
x,N,,,T,,"Batch/dp, Seq, Din/mp",1,,,
w,Y,,,T,,"Din/dp, Dout/mp",1,,,
y,N,x,w,M,"bsm,mn->bsn","Batch/dp, Seq, Din",1,"Din, Dout/mp",1,
dy,N,,,T,,"Batch/dp, Seq, Dout/mp",1,,,y
dw,N,dy,x,M,"bsn,bsm->mn","Batch/dp, Seq, Dout/mp",1,"Batch/dp, Seq, Din",1,w
dx,N,dy,w,M,"bsn,mn->bsm","Batch/dp, Seq, Dout/mp",1,"Din, Dout/mp",1,x
