inEmbX,N,"B/bp, Seq, H*DI",1,,,T,,,,,,"B/bp, Seq, H*DI",1,,
inEmbW,Y,"H*DI, H*D",1,,,T,,,,,,"H*DI, H*D",1,,
inEmbY,N,"B/bp, Seq, H*D",1,inEmbX,inEmbW,M,"bsd,de->bse","B/bp, Seq, H*DI",1,"H*DI, H*D",1,"B/bp, Seq, H*D",H*DI,,B/bp*Seq*H*D*H*DI
