id_,require_grads,shape,hidden,x1,x2,op_type,op_attr,gradient_of,num_iter,offloading,x1_shape,x1_hidden,x2_shape,x2_hidden,direct_output_shape,direct_output_hidden,post_communications,ops
outEmbedX,N,"B/bp, Seq, H*D",1,,,T,,,0,0,,,,,"B/bp, Seq, H*D",1,,
outEmbedW,Y,"H*D, H*DO",1,,,T,,,0,0,,,,,"H*D, H*DO",1,,
outEmbedY,N,"B/bp, Seq, H*DO",1,outEmbedX,outEmbedW,M,"bsd,de->bse",,0,0,"B/bp, Seq, H*D",1,"H*D, H*DO",1,"B/bp, Seq, H*DO",1,,B/bp*Seq*H*DO*H*D
