id_,require_grads,shape,hidden,x1,x2,op_type,op_attr,gradient_of,num_iter,offloading,x1_shape,x1_hidden,x2_shape,x2_hidden,direct_output_shape,direct_output_hidden,post_communications,ops
d_outEmbedY,N,"B/bp, Seq, H*DO",1,,,,,outEmbedY,0,0,,,,,"B/bp, Seq, H*DO",1,,
d_outEmbedX,N,"B/bp, Seq, H*D",1,d_outEmbedY,outEmbedW,M,"bse,de->bsd",outEmbedX,0,0,"B/bp, Seq, H*DO",1,"H*D, H*DO",1,"B/bp, Seq, H*D",H*DO,,B/bp*Seq*H*D*H*DO
d_outEmbedW,N,"H*D, H*DO",1,d_outEmbedY,outEmbedX,M,"bse,bsd->de",outEmbedW,0,0,"B/bp, Seq, H*DO",1,"B/bp, Seq, H*D",1,"H*D, H*DO","B/bp, Seq",Reduce@bp:H*D*H*DO,H*D*H*DO*B/bp*Seq
